team,player,position,shots,xg,passes,completed_passes,progressive_passes,pressures,recoveries,interceptions,carries,progressive_carries,pass_completion_pct,xg_score,progression_score,defensive_score,involvement_score,scouting_score
Spain,Daniel Olmo Carvajal,Center Attacking Midfield,2,0.27212832,33,26,3,26,3,1,32,1,78.8,78.5,18.2,100,42.1,60.3
Spain,Nicholas Williams Arthuer,Left Wing,3,0.22964415,51,41,2,17,5,0,47,7,80.4,66.2,40.9,73.3,63.5,60
Spain,Lamine Yamal Nasraoui Ebana,Right Wing,2,0.32606282,36,24,5,19,0,0,35,1,66.7,94,27.3,63.3,45.9,59.1
Spain,Álvaro Borja Morata Martín,Center Forward,3,0.34675487,21,15,0,23,3,0,13,0,71.4,100,0,86.7,23.3,55.2
Spain,Aymeric Laporte,Left Center Back,1,0.097933225,83,80,10,2,0,0,70,12,96.4,28.2,100,6.7,96.9,54.7
Spain,Fabián Ruiz Peña,Left Defensive Midfield,2,0.08068879200000001,63,55,8,18,7,0,59,1,87.3,23.3,40.9,83.3,78,51.8
Spain,Robin Aime Robert Le Normand,Right Center Back,1,0.11746518,84,80,10,1,4,0,74,6,95.2,33.9,72.7,16.7,100,51.2
England,Declan Rice,Left Defensive Midfield,3,0.212219465,41,32,1,13,7,1,33,0,78,61.2,4.5,70,48.4,44.5
Spain,Daniel Carvajal Ramos,Right Back,0,0,73,63,8,15,5,0,50,1,86.3,0,40.9,66.7,77.4,40.6
England,Phil Foden,Center Attacking Midfield,1,0.1796937,19,15,0,21,2,0,16,1,78.9,51.8,4.5,76.7,22.6,39.5
England,Jude Bellingham,Left Wing,1,0.05628593,27,20,1,23,5,0,29,3,74.1,16.2,18.2,93.3,35.8,39
Spain,Mikel Oyarzabal Ugarte,Center Forward,2,0.32103576699999997,4,3,0,6,1,0,2,0,75,92.6,0,23.3,5,34.4
England,Kyle Walker,Right Back,0,0,42,36,8,15,1,1,33,0,85.7,0,36.4,56.7,47.2,32.2
England,Marc Guehi,Left Center Back,1,0.117154144,26,23,4,11,1,0,18,0,88.5,33.8,18.2,40,28.3,29.8
England,Bukayo Saka,Right Wing,0,0,22,21,1,17,3,0,28,5,95.5,0,27.3,66.7,31.4,29.6
Spain,Marc Cucurella Saseta,Left Back,0,0,43,42,5,15,1,1,31,0,97.7,0,22.7,56.7,46.5,28
England,Jordan Pickford,Goalkeeper,0,0,42,26,13,0,1,0,24,0,61.9,0,59.1,3.3,41.5,24.8
England,John Stones,Right Center Back,0,0,35,30,5,9,2,0,26,2,85.7,0,31.8,36.7,38.4,24.5
Spain,Unai Simón Mendibil,Goalkeeper,0,0,40,34,8,0,5,0,28,0,85,0,36.4,16.7,42.8,21.5
Spain,Rodrigo Hernández Cascante,Right Defensive Midfield,0,0,32,29,1,11,2,0,23,1,90.6,0,9.1,43.3,34.6,18.7
England,Kobbie Mainoo,Right Defensive Midfield,0,0,18,14,0,16,2,0,17,0,77.8,0,0,60,22,18.3
England,Harry Kane,Center Forward,1,0.048372418,11,5,4,7,1,0,7,0,45.5,14,18.2,26.7,11.9,18.1
Spain,Martín Zubimendi Ibáñez,Right Defensive Midfield,0,0,26,23,2,7,1,0,23,3,88.5,0,22.7,26.7,30.8,18.1
England,Cole Palmer,Center Attacking Midfield,1,0.03794335,7,6,4,7,2,0,8,0,85.7,10.9,18.2,30,10.1,17.7
England,Luke Shaw,Left Back,0,0,21,19,2,10,0,1,17,1,90.5,0,13.6,36.7,23.9,16.8
England,Ollie Watkins,Center Forward,1,0.07470869,1,1,0,5,1,0,1,0,100,21.5,0,20,1.9,11.7
England,Jude Bellingham,Right Defensive Midfield,0,0,8,5,1,4,2,0,7,0,62.5,0,4.5,20,9.4,7.8
England,Phil Foden,Left Wing,0,0,1,1,0,7,1,0,1,0,100,0,0,26.7,1.3,6.9
Spain,José Ignacio Fernández Iglesias,Right Center Back,0,0,3,3,0,0,0,0,3,1,100,0,4.5,0,3.8,1.9
England,Bukayo Saka,Right Center Midfield,0,0,1,0,0,0,1,0,1,0,0,0,0,3.3,1.3,1
Spain,Daniel Olmo Carvajal,Right Wing,0,0,0,0,0,1,0,0,0,0,0,0,0,3.3,0,0.8
Spain,Mikel Merino Zazón,Center Attacking Midfield,0,0,0,0,0,1,0,0,0,0,0,0,0,3.3,0,0.8
England,Declan Rice,Center Defensive Midfield,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1.3,0.2
England,Ivan Toney,Left Center Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,Ollie Watkins,Right Center Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
